iteration,walltime
0,0.0903322696685791
100,31.97572159767151
200,51.226276874542236
300,70.52266025543213
400,89.8232855796814
500,109.01171159744263
600,128.32381010055542
700,147.63798832893372
800,167.0716574192047
900,186.49716019630432
999,205.9282684326172
