info_state,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,player,prob,round,terminal,total_demand,value
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 17.7156,,,,"MarginalValues:47, 10.5 Budget: 200",1,1.5617187500000003e-05,7,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 17.7156
Round: 8",1 , 1,,,, 17.7156,75.9632925,8.463292499999994,,,0,1.5624816894531252e-05,8,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 17.7156
Round: 8",1 , 1,,,, 17.7156,75.9632925,8.463292499999994,,,1,1.5624816894531252e-05,8,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 19.4872,,,,"MarginalValues:101, 51 Budget: 200",0,7.808593750000001e-06,8,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 19.4872,,,,"MarginalValues:47, 10.5 Budget: 200",1,7.808593750000001e-06,8,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 19.4872
Round: 9",1 , 1,,,, 19.4872,74.63462175,7.134621749999994,,,0,7.812454223632813e-06,9,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 19.4872
Round: 9",1 , 1,,,, 19.4872,74.63462175,7.134621749999994,,,1,7.812454223632813e-06,9,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,1.0,, 21.4359,,,,"MarginalValues:101, 51 Budget: 200",0,3.904296875000001e-06,9,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Processed:
2 | 2 | 2 | 2 | 2 | 2 | 2 | 2
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3 | 3
",,,,0.5,0.5, 21.4359,,,,"MarginalValues:47, 10.5 Budget: 200",1,3.904296875000001e-06,9,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 21.4359
Round: 10",1 , 1,,,, 21.4359,73.17308392499999,5.673083924999993,,,0,3.906238555908203e-06,10,True,,
