run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,rewards_2,nc_player_improvements_2,nc_player_improvements_frac_2,hc_player_improvements_2,hc_player_improvements_frac_2,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,p2_expected_exposure,p2_exposure_frac,p2_utility,p2_payment,p2_total_entropies,p2_avg_entropies,p2_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_rewards_2,straightforward_nc_player_improvements_2,straightforward_nc_player_improvements_frac_2,straightforward_hc_player_improvements_2,straightforward_hc_player_improvements_frac_2,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_p2_expected_exposure,straightforward_p2_exposure_frac,straightforward_p2_utility,straightforward_p2_payment,straightforward_p2_total_entropies,straightforward_p2_avg_entropies,straightforward_p2_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,rho_0_nash_conv,rho_0_heuristic_conv,rho_0_nash_conv_runtime,rho_0_heuristic_conv_runtime,rho_0_nash_conv_player_improvements,rho_0_heuristic_conv_player_improvements
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3-cfr_10external_plus_linear-103,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3.json,103,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,1241001,10800.998153924942,0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,2.3663125038146973,3.544313430786133,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3-cfr_10external_plus_linear-101,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3.json,101,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,1294990,10800.00202870369,0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,2.366246461868286,3.588878631591797,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3-cfr_10external_plus_linear-102,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3.json,102,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,1254659,10800.00739121437,0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,2.3383963108062744,3.5388553142547607,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3-cfr_10external_plus_linear-104,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3.json,104,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,1220899,10800.002173900604,0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,2.4412686824798584,3.6110544204711914,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3-cfr_10external_plus_linear-100,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3.json,100,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,3,1000,True,1236328,10800.003511667252,0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[3.2181631762667067, 9.05439220966387, 5.801560864653148]",0.0,0.0,0.0,3.2181631762667067,0.0,0.0,0.0,0.0,9.05439220966387,0.0,0.0,0.0,0.0,5.801560864653148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.15982786228983187,3.2181631762667067,19.294522367894317,0.0,0.0,1.0,0.0,0.0,9.05439220966387,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.801560864653148,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,76.09941849237718,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,3.300764322280884,3.570206642150879,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-103,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break.json,103,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,1150131,10800.005696773529,0.0,"[3.472059406665288, 8.750086288166026, 5.67785422163303]",0.0,0.0,0.0,3.472059406665288,0.0,0.0,0.0,0.0,8.750086288166026,0.0,0.0,0.0,0.0,5.67785422163303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.13270616493194556,3.472059406665288,18.670424339471584,0.0,0.0,1.0,0.0,0.0,8.750086288166026,19.03801666333067,0.0,0.0,1.0,0.0,0.0,5.67785422163303,18.998206315052045,0.0,0.0,1.0,0.13270616493194556,74.60664723431863,56.70664731785431,3.0,1.0,1.0,9.315852682145715,0.7763210568454763,"[((0, 2), 4972), ((0, 3), 4166), ((1, 1), 564), ((0, 1), 290)]",[0.77632106 0.        ],2.125199996014527,"[3.302175800743281, 9.07530043673534, 5.753798198299281]",0.11721183767539987,1.327924399529942,0.07323944073724835,3.302175800743281,1.0179170139819211,0.30825645737964646,0.9292781630748292,0.2814138977293879,9.07530043673534,0.431749971046111,0.04757417939558864,0.047870185808900345,0.0052747769776446875,5.753798198299281,0.675533010986495,0.11740644835026894,0.3507760506462123,0.06096426022551424,0.0,0.0,1.0,-0.2627385340592987,0.15642514011208966,3.302175800743281,19.156268514811853,0.0,0.0,1.0,0.0,0.0,9.07530043673534,17.945642263811052,0.0,0.0,1.0,0.0,0.0,5.753798198299281,18.570709317453964,0.0,0.0,1.0,0.15642514011208966,73.80389453185477,55.67262009607689,3.0,1.0,1.0,10.349879903923135,0.8624899919935944,"[((0, 2), 5174), ((0, 3), 4818)]",[ 8.62489992e-01 -4.44089210e-16],0.0,0.0,2.418330669403076,3.82552433013916,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-102,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break.json,102,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,1183580,10800.005881786346,0.0,"[3.472059406665288, 8.750086288166026, 5.67785422163303]",0.0,0.0,0.0,3.472059406665288,0.0,0.0,0.0,0.0,8.750086288166026,0.0,0.0,0.0,0.0,5.67785422163303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.13270616493194556,3.472059406665288,18.670424339471584,0.0,0.0,1.0,0.0,0.0,8.750086288166026,19.03801666333067,0.0,0.0,1.0,0.0,0.0,5.67785422163303,18.998206315052045,0.0,0.0,1.0,0.13270616493194556,74.60664723431863,56.70664731785431,3.0,1.0,1.0,9.315852682145715,0.7763210568454763,"[((0, 2), 4972), ((0, 3), 4166), ((1, 1), 564), ((0, 1), 290)]",[0.77632106 0.        ],2.125199996014527,"[3.302175800743281, 9.07530043673534, 5.753798198299281]",0.11721183767539987,1.327924399529942,0.07323944073724835,3.302175800743281,1.0179170139819211,0.30825645737964646,0.9292781630748292,0.2814138977293879,9.07530043673534,0.431749971046111,0.04757417939558864,0.047870185808900345,0.0052747769776446875,5.753798198299281,0.675533010986495,0.11740644835026894,0.3507760506462123,0.06096426022551424,0.0,0.0,1.0,-0.2627385340592987,0.15642514011208966,3.302175800743281,19.156268514811853,0.0,0.0,1.0,0.0,0.0,9.07530043673534,17.945642263811052,0.0,0.0,1.0,0.0,0.0,5.753798198299281,18.570709317453964,0.0,0.0,1.0,0.15642514011208966,73.80389453185477,55.67262009607689,3.0,1.0,1.0,10.349879903923135,0.8624899919935944,"[((0, 2), 5174), ((0, 3), 4818)]",[ 8.62489992e-01 -4.44089210e-16],0.0,0.0,2.425363779067993,3.8516347408294678,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-104,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho0_t3_tie_break.json,104,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,3,1000,True,1205532,10800.008460998535,0.0,"[3.472059406665288, 8.750086288166026, 5.67785422163303]",0.0,0.0,0.0,3.472059406665288,0.0,0.0,0.0,0.0,8.750086288166026,0.0,0.0,0.0,0.0,5.67785422163303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2627385340592987,0.13270616493194556,3.472059406665288,18.670424339471584,0.0,0.0,1.0,0.0,0.0,8.750086288166026,19.03801666333067,0.0,0.0,1.0,0.0,0.0,5.67785422163303,18.998206315052045,0.0,0.0,1.0,0.13270616493194556,74.60664723431863,56.70664731785431,3.0,1.0,1.0,9.315852682145715,0.7763210568454763,"[((0, 2), 4972), ((0, 3), 4166), ((1, 1), 564), ((0, 1), 290)]",[0.77632106 0.        ],2.125199996014527,"[3.302175800743281, 9.07530043673534, 5.753798198299281]",0.11721183767539987,1.327924399529942,0.07323944073724835,3.302175800743281,1.0179170139819211,0.30825645737964646,0.9292781630748292,0.2814138977293879,9.07530043673534,0.431749971046111,0.04757417939558864,0.047870185808900345,0.0052747769776446875,5.753798198299281,0.675533010986495,0.11740644835026894,0.3507760506462123,0.06096426022551424,0.0,0.0,1.0,-0.2627385340592987,0.15642514011208966,3.302175800743281,19.156268514811853,0.0,0.0,1.0,0.0,0.0,9.07530043673534,17.945642263811052,0.0,0.0,1.0,0.0,0.0,5.753798198299281,18.570709317453964,0.0,0.0,1.0,0.15642514011208966,73.80389453185477,55.67262009607689,3.0,1.0,1.0,10.349879903923135,0.8624899919935944,"[((0, 2), 5174), ((0, 3), 4818)]",[ 8.62489992e-01 -4.44089210e-16],0.0,0.0,2.4204940795898438,3.855768918991089,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho1_t3-cfr_10external_plus_linear-100,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho1_t3.json,100,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,1281431,10800.006771087646,0.0,"[2.9953713822803723, 8.91173027010427, 5.637913505303572]",0.0,0.0,0.0,2.9953713822803723,0.0,0.0,0.0,0.0,8.91173027010427,0.0,0.0,0.0,0.0,5.637913505303572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.472245935936613,0.15982786228983187,2.9953713822803723,19.294522367894317,0.0,0.0,1.0,0.0,0.0,8.91173027010427,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.637913505303572,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,75.57031739948165,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[2.9953713822803723, 8.91173027010427, 5.637913505303572]",0.0,0.0,0.0,2.9953713822803723,0.0,0.0,0.0,0.0,8.91173027010427,0.0,0.0,0.0,0.0,5.637913505303572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.472245935936613,0.15982786228983187,2.9953713822803723,19.294522367894317,0.0,0.0,1.0,0.0,0.0,8.91173027010427,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.637913505303572,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,75.57031739948165,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,9.866772651672363,8.023620367050171,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
feb8_3p_7supply_feb8_3p_7supply_0_base_dev1000_rho1_t3-cfr_10external_plus_linear-102,feb8_3p_7supply/feb8_3p_7supply_0_base_dev1000_rho1_t3.json,102,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_7supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,3,1000,True,1275369,10800.007020711899,0.0,"[2.9953713822803723, 8.91173027010427, 5.637913505303572]",0.0,0.0,0.0,2.9953713822803723,0.0,0.0,0.0,0.0,8.91173027010427,0.0,0.0,0.0,0.0,5.637913505303572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.472245935936613,0.15982786228983187,2.9953713822803723,19.294522367894317,0.0,0.0,1.0,0.0,0.0,8.91173027010427,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.637913505303572,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,75.57031739948165,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,"[2.9953713822803723, 8.91173027010427, 5.637913505303572]",0.0,0.0,0.0,2.9953713822803723,0.0,0.0,0.0,0.0,8.91173027010427,0.0,0.0,0.0,0.0,5.637913505303572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.472245935936613,0.15982786228983187,2.9953713822803723,19.294522367894317,0.0,0.0,1.0,0.0,0.0,8.91173027010427,19.419582916333066,0.0,0.0,1.0,0.0,0.0,5.637913505303572,19.311196957566057,0.0,0.0,1.0,0.15982786228983187,75.57031739948165,58.02530224179346,3.0,1.0,1.0,7.997197758206565,0.6664331465172137,"[((0, 3), 4997), ((0, 2), 4995)]",[0.66643315 0.        ],0.0,0.0,9.89679765701294,8.044020414352417,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
