,base_game_name,clock_speed,information_policy,game_name,potential,seed,run_name,experiment,alg,walltime,approx_nash_conv,total_entropy,p0_utility,p0_payment,p0_total_entropies,p1_utility,p1_payment,p1_total_entropies,total_welfare,total_revenue,auction_lengths,common_allocations,avg_history_entropy
11,jun9_0,0.45,SHOW_DEMAND,jun9/jun9_0_medium_speed.json,None,102,jun9_jun9_0_medium_speed-cfr_outcomemccfr_outcome-102,jun10outcome,cfr_outcome,19263.34776711464,,0.0,66.47614491593274,90.59789831865491,0.0,163.29849819855886,102.0367379903923,0.0,422.4092794235388,192.6346363090472,3.762409927942354,"[((0, 4), 3768), ((0, 1), 3093), ((1, 4), 1223), ((1, 1), 655), ((0, 2), 631)]",0.5197902107545632
12,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,100,jun9_jun9_0_high_speed-ppo_may31_23ppo_76-100,jun10ppo,PPO,27313.521584272385,,0.0,48.264910946567916,105.13567340404246,0.0,106.22321216730032,164.3018668801281,0.0,423.9256633980388,269.4375402841706,4.50310186111667,"[((0, 1), 3760), ((0, 4), 3759), ((1, 4), 1238), ((1, 1), 1237)]",0.34651327021336875
13,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,102,jun9_jun9_0_high_speed-ppo_may31_23ppo_76-102,jun10ppo,PPO,27859.549831867218,,0.0,44.19819125562778,116.95598583291651,0.0,130.1293621210605,132.42208560280145,0.0,423.7056248124062,249.37807143571794,4.004602301150575,"[((0, 4), 3766), ((0, 3), 1873), ((1, 4), 1232), ((0, 0), 1220), ((0, 1), 644)]",0.6930949610488369
14,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,101,jun9_jun9_0_high_speed-ppo_may31_23ppo_76-101,jun10ppo,PPO,28652.916645526886,,0.0,47.696826493246604,109.34638711355682,0.0,117.49240764382189,148.11508410205107,0.0,422.6507053526763,257.46147121560784,4.258629314657329,"[((0, 4), 3770), ((0, 1), 3097), ((1, 4), 1219), ((1, 1), 655), ((0, 2), 632)]",0.5197835364315184
15,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,101,jun9_jun9_0_high_speed-cfr_outcomemccfr_outcome-101,jun10outcome,cfr_outcome,20496.53866147995,,0.0,43.42488844422209,100.57557578789395,0.0,112.8337844122061,152.1962506053027,0.0,409.0304992496249,252.77182639319665,4.258629314657329,"[((0, 1), 3097), ((0, 4), 2522), ((1, 2), 1870), ((0, 2), 1851), ((1, 1), 655)]",0.5197835364315184
16,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,100,jun9_jun9_0_high_speed-cfr_outcomemccfr_outcome-100,jun10outcome,cfr_outcome,18300.30059170723,,0.0,47.60047015507752,109.52945080540273,0.0,144.85098741370686,120.31168992496252,0.0,422.29259829914963,229.8411407303652,3.510655327663832,"[((0, 4), 3769), ((0, 1), 3092), ((1, 4), 1224), ((1, 1), 657), ((0, 2), 630)]",0.5197869897911169
17,jun9_0,0.6,SHOW_DEMAND,jun9/jun9_0_high_speed.json,None,102,jun9_jun9_0_high_speed-cfr_outcomemccfr_outcome-102,jun10outcome,cfr_outcome,18648.472838401794,,0.0,47.496184947958355,102.03050440352284,0.0,148.87135148118492,135.53693514811852,0.0,433.93497598078454,237.56743955164137,3.762409927942354,"[((0, 4), 3768), ((0, 0), 2442), ((1, 4), 1223), ((1, 1), 655), ((0, 1), 651)]",0.5197902107545632
18,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,102,jun9_jun9_1_base-ppo_may31_23ppo_76-102,jun10ppo,PPO,25360.48222374916,,0.0,49.79512594962014,62.85541783286685,0.0,55.00854598160736,58.11179788084767,0.0,225.770887644942,120.96721571371452,2.247800879648141,"[((2, 0), 4994), ((1, 2), 2532), ((1, 0), 2478)]",0.0
19,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,101,jun9_jun9_1_base-ppo_may31_23ppo_76-101,jun10ppo,PPO,25963.753755807877,,0.0,41.33249529905981,71.50495619123826,0.0,55.17615623124626,58.06328365673134,0.0,226.0768913782757,129.56823984796958,2.7524504900980196,"[((2, 0), 4996), ((1, 2), 2532), ((1, 0), 2470)]",0.0
20,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,100,jun9_jun9_1_base-ppo_may31_23ppo_76-100,jun10ppo,PPO,26036.222828388214,,0.0,41.30210522104421,71.50495619123826,0.0,55.17615623124626,58.06328365673134,0.0,226.0465013002601,129.56823984796958,2.7524504900980196,"[((2, 0), 4996), ((1, 2), 2532), ((1, 0), 2470)]",0.0
21,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,101,jun9_jun9_1_base-cfr_outcomemccfr_outcome-101,jun10outcome,cfr_outcome,10969.75195145607,,0.0,51.683214928957376,62.87844606764059,0.0,45.65785971582951,45.31520812487493,0.0,205.53472883730237,108.19365419251552,1.9982989793876327,"[((1, 2), 2525), ((2, 0), 2506), ((1, 1), 2489), ((1, 0), 2474)]",0.0
22,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,102,jun9_jun9_1_base-cfr_outcomemccfr_outcome-102,jun10outcome,cfr_outcome,11500.526253938675,,0.0,50.330711715313875,62.39984006397442,0.0,52.043547980807666,55.835228508596565,0.0,220.60932826869254,118.23506857257097,2.247800879648141,"[((2, 0), 4994), ((1, 2), 2532), ((1, 0), 2478)]",0.0
23,jun9_1,0.3,SHOW_DEMAND,jun9/jun9_1_base.json,None,100,jun9_jun9_1_base-cfr_outcomemccfr_outcome-100,jun10outcome,cfr_outcome,11310.053984642029,,0.0,51.11583149889933,44.97495497298379,0.0,46.92378427056234,38.76166700020012,0.0,181.7762377426456,83.73662197318393,1.7495497298379028,"[((0, 2), 2529), ((2, 0), 2503), ((0, 1), 2489), ((1, 0), 2473)]",0.0
