,game_name,potential,seed,run_name,experiment,information_policy,clock_speed,base_game_name,alg,walltime,approx_nash_conv,total_entropy,p0_utility,p0_payment,p0_total_entropies,p1_utility,p1_payment,p1_total_entropies,total_welfare,total_revenue,auction_lengths,common_allocations
13,jun13/jun13_1_imperfect.json,None,100,jun13_jun13_1_imperfect-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.3,jun13_1,PPO,24587.982545375824,,0.0,49.916691669166916,62.87624762476247,0.0,40.73545788578859,72.42798645864586,0.0,225.95638363836383,135.30423408340835,2.7455745574557455,"[((2, 0), 4995), ((1, 2), 2534), ((1, 0), 2470)]"
14,jun13/jun13_3_high_speed.json,None,100,jun13_jun13_3_high_speed-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.6,jun13_3,PPO,21398.272440195084,,0.0,144.65230498298973,146.62097098258957,0.0,125.70246864918951,150.79088336201727,0.0,567.7666279767861,297.41185434460687,4.4992995797478486,"[((2, 0), 2528), ((0, 1), 2508), ((2, 1), 2483), ((0, 0), 2475)]"
15,jun13/jun13_3_base.json,None,100,jun13_jun13_3_base-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.3,jun13_3,PPO,21697.8573179245,,0.0,218.30866937573754,127.99603309450947,0.0,149.94106170617061,46.159708370837095,0.0,542.4054725472547,174.15574146534658,3.744274427442744,"[((2, 0), 5009), ((0, 1), 2503), ((2, 1), 2487)]"
16,jun13/jun13_0_imperfect.json,None,102,jun13_jun13_0_imperfect-ppo_may31_23ppo_76-102,jun13ppo,SHOW_DEMAND,0.3,jun13_0,PPO,27070.38086628914,,0.0,33.82611655952772,116.40747223486947,0.0,141.26319019810705,152.61028654026214,0.0,444.1070655327664,269.01775877513165,7.368184092046023,"[((0, 0), 3166), ((0, 4), 2495), ((1, 2), 2424), ((0, 2), 1268), ((1, 0), 642)]"
17,jun13/jun13_2_medium_speed.json,None,101,jun13_jun13_2_medium_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.45,jun13_2,PPO,32982.939014434814,,0.0,30.283410305152582,93.87811845922961,0.0,120.45829494622312,240.44831435842917,0.0,485.06813806903443,334.32643281765877,4.008904452226113,"[((0, 0), 4992), ((2, 3), 2532), ((0, 3), 2471)]"
18,jun13/jun13_4_medium_speed.json,None,101,jun13_jun13_4_medium_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.45,jun13_4,PPO,20180.832810640335,,0.0,149.41034948584576,120.34648156346906,0.0,79.48063379013705,43.08748064419325,0.0,392.324945483645,163.43396220766235,4.25737721316395,"[((1, 2), 5013), ((1, 0), 2510), ((0, 0), 2474)]"
19,jun13/jun13_2_imperfect.json,None,100,jun13_jun13_2_imperfect-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.3,jun13_2,PPO,30251.08955001831,,0.0,45.43717406443865,79.15685435261157,0.0,139.57323308184905,221.7622842285372,0.0,485.92954572743645,300.91913858114873,5.259655793476085,"[((0, 0), 4991), ((2, 3), 2531), ((0, 3), 2472)]"
20,jun13/jun13_1_medium_speed.json,None,102,jun13_jun13_1_medium_speed-ppo_may31_23ppo_76-102,jun13ppo,SHOW_DEMAND,0.45,jun13_1,PPO,26693.983540534973,,0.0,47.16349860055978,65.48704518192721,0.0,45.76149287784887,67.35885098460616,0.0,225.770887644942,132.84589616653338,2.247800879648141,"[((2, 0), 4994), ((1, 2), 2532), ((1, 0), 2478)]"
21,jun13/jun13_3_medium_speed.json,None,100,jun13_jun13_3_medium_speed-ppo_may31_23ppo_76-100,jun13ppo,SHOW_DEMAND,0.45,jun13_3,PPO,20582.31903553009,,0.0,140.15479183591793,151.55431071535767,0.0,182.7450861141508,93.66612749265255,0.0,568.1203161580792,245.2204382080103,4.496948474237119,"[((2, 0), 2528), ((0, 1), 2501), ((2, 1), 2491), ((0, 0), 2475)]"
22,jun13/jun13_0_high_speed.json,None,101,jun13_jun13_0_high_speed-ppo_may31_23ppo_76-101,jun13ppo,SHOW_DEMAND,0.6,jun13_0,PPO,28462.129551649094,,0.0,62.10901800720288,63.874747498999604,0.0,85.32053506202473,223.09475905562232,0.0,434.3990596238496,286.96950655462194,4.753801520608243,"[((0, 0), 2531), ((0, 4), 2509), ((1, 1), 2483), ((0, 1), 2473)]"
