type,processed_demand,proportion
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 1), (2, 1)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 3), (0, 2)))",0.0031834460803820135
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (0, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2), (2, 0)))",0.0031834460803820135
"(0, 1)","(((0, 0), (2, 3), (2, 2), (2, 1), (0, 3), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 2), (2, 2)))",0.0031834460803820135
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 3)))",0.0031834460803820135
"(0, 1)","(((0, 0), (2, 3), (2, 2), (2, 1), (0, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 2), (2, 0)))",0.002785515320334262
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 1), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 3), (0, 3)))",0.002785515320334262
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (1, 3), (0, 3)))",0.00238758456028651
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 0), (1, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (1, 3), (1, 3)))",0.0019896538002387586
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (0, 3), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2), (2, 2)))",0.0019896538002387586
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 0), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0019896538002387586
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (1, 3), (1, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (1, 3), (1, 0)))",0.0019896538002387586
"(0, 1)","(((0, 0), (2, 3), (2, 1), (2, 0), (0, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 0)))",0.0015917230401910067
"(0, 1)","(((0, 0), (2, 3), (2, 0)), ((0, 0), (2, 3), (0, 3)))",0.0015917230401910067
"(0, 1)","(((0, 0), (2, 3), (2, 1), (2, 0), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)))",0.001193792280143255
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 1), (2, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2), (0, 2)))",0.001193792280143255
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (0, 3), (0, 2)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 1), (2, 1)))",0.001193792280143255
"(0, 1)","(((0, 0), (2, 2), (2, 0), (2, 0), (0, 3), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2), (2, 2)))",0.001193792280143255
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 0)))",0.0007958615200955034
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (0, 3)))",0.0007958615200955034
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 0), (2, 0), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0007958615200955034
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 1), (1, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (1, 2), (1, 2)))",0.0007958615200955034
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 0), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)))",0.0007958615200955034
