type,processed_demand,proportion
"(1, 1)","(((0, 0), (2, 2), (2, 0), (0, 3), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 2), (0, 2)), ((0, 0), (2, 3), (2, 1)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 3), (1, 0), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 3), (1, 0), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (2, 3), (2, 0), (0, 2), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 3), (1, 0), (0, 1), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 3), (1, 1)), ((0, 0), (1, 3), (1, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (1, 2), (0, 2)), ((0, 0), (2, 3), (2, 1)))",0.0004051863857374392
"(1, 1)","(((0, 0), (1, 2), (0, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
"(1, 1)","(((0, 0), (1, 2), (0, 2), (0, 1), (0, 1)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 2)))",0.0004051863857374392
"(1, 1)","(((0, 0), (0, 2), (0, 1), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3)))",0.0004051863857374392
