run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,straightforward_nash_conv
jan19_jan19_17_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_17_base_dev1000_rho0_t4.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_17_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,True,51251,"(3623.4343404769897,)",0.0,"[13.539755804643715, 16.285700560448355]",0.0,0.0,0.0,13.539755804643715,0.0,0.0,0.0,0.0,16.285700560448355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0
jan19_jan19_5_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_5_base_dev1000_rho0_t2.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,True,161501,"(3606.632582426071,)",0.0,"[9.04388961168935, 22.965814151321048]",0.0,0.0,0.0,9.04388961168935,0.0,0.0,0.0,0.0,22.965814151321048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.04388961168935,20.57590622497998,0.0,0.0,1.0,0.0,0.0,22.965814151321048,22.29409377502002,0.0,0.0,1.0,0.0,74.87970376301041,42.870000000000005,3.0,0.4975980784627702,0.4975980784627702,-3.3306690738754696e-16,-2.7755575615628914e-17,"[((1, 1), 7495), ((0, 3), 2497)]",[-2.77555756e-17  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,9.009568567353881,21.107625187650125,0.0,0.0,1.0,0.0,0.0,22.733979921437143,22.145623761509214,0.0,0.0,1.0,0.0,74.99679743795036,43.253248949159335,3.248298638911129,0.2507005604483587,0.2507005604483587,0.0,0.0,"[((1, 1), 6227), ((0, 3), 3765)]",[0. 0.],0.025843749999999943
jan19_jan19_5_base_dev1000_rho0_t2-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_5_base_dev1000_rho0_t2.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,2,1000,True,142501,"(3601.2129788398743,)",0.0,"[9.04388961168935, 22.965814151321048]",0.0,0.0,0.0,9.04388961168935,0.0,0.0,0.0,0.0,22.965814151321048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.04388961168935,20.57590622497998,0.0,0.0,1.0,0.0,0.0,22.965814151321048,22.29409377502002,0.0,0.0,1.0,0.0,74.87970376301041,42.870000000000005,3.0,0.4975980784627702,0.4975980784627702,-3.3306690738754696e-16,-2.7755575615628914e-17,"[((1, 1), 7495), ((0, 3), 2497)]",[-2.77555756e-17  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,9.009568567353881,21.107625187650125,0.0,0.0,1.0,0.0,0.0,22.733979921437143,22.145623761509214,0.0,0.0,1.0,0.0,74.99679743795036,43.253248949159335,3.248298638911129,0.2507005604483587,0.2507005604483587,0.0,0.0,"[((1, 1), 6227), ((0, 3), 3765)]",[0. 0.],0.025843749999999943
jan19_jan19_17_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_17_base_dev1000_rho0_t4.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_17_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,True,47001,"(3624.011020898819,)",0.0,"[13.539755804643715, 16.285700560448355]",0.0,0.0,0.0,13.539755804643715,0.0,0.0,0.0,0.0,16.285700560448355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0
jan19_jan19_5_base_dev1000_rho1_t2-cfr_port_10_extexternal_plus_linear_no_trem-101,jan19/jan19_5_base_dev1000_rho1_t2.json,101,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,141751,"(3610.117447376251,)",0.0,"[8.906976174683873, 22.76422619396109]",0.0,0.0,0.0,8.906976174683873,0.0,0.0,0.0,0.0,22.76422619396109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.906976174683873,20.57590622497998,0.0,0.0,1.0,0.0,0.0,22.76422619396109,22.29409377502002,0.0,0.0,1.0,0.0,74.54120236864497,42.870000000000005,3.0,0.4975980784627702,0.4975980784627702,-3.3306690738754696e-16,-2.7755575615628914e-17,"[((1, 1), 7495), ((0, 3), 2497)]",[-2.77555756e-17  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,8.893816273100738,21.107625187650125,0.0,0.0,1.0,0.0,0.0,22.495829022459795,22.145623761509214,0.0,0.0,1.0,0.0,74.64289424471987,43.253248949159335,3.248298638911129,0.2507005604483587,0.2507005604483587,0.0,0.0,"[((1, 1), 6227), ((0, 3), 3765)]",[0. 0.],
jan19_jan19_5_base_dev1000_rho1_t2-cfr_port_10_extexternal_plus_linear_no_trem-100,jan19/jan19_5_base_dev1000_rho1_t2.json,100,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,141523,"(3600.00599694252,)",0.0,"[8.906976174683873, 22.76422619396109]",0.0,0.0,0.0,8.906976174683873,0.0,0.0,0.0,0.0,22.76422619396109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.906976174683873,20.57590622497998,0.0,0.0,1.0,0.0,0.0,22.76422619396109,22.29409377502002,0.0,0.0,1.0,0.0,74.54120236864497,42.870000000000005,3.0,0.4975980784627702,0.4975980784627702,-3.3306690738754696e-16,-2.7755575615628914e-17,"[((1, 1), 7495), ((0, 3), 2497)]",[-2.77555756e-17  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,8.893816273100738,21.107625187650125,0.0,0.0,1.0,0.0,0.0,22.495829022459795,22.145623761509214,0.0,0.0,1.0,0.0,74.64289424471987,43.253248949159335,3.248298638911129,0.2507005604483587,0.2507005604483587,0.0,0.0,"[((1, 1), 6227), ((0, 3), 3765)]",[0. 0.],
jan19_jan19_5_base_dev1000_rho1_t2-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_5_base_dev1000_rho1_t2.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_5_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,2,1000,True,147251,"(3605.5766835212708,)",0.0,"[8.906976174683873, 22.76422619396109]",0.0,0.0,0.0,8.906976174683873,0.0,0.0,0.0,0.0,22.76422619396109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.906976174683873,20.57590622497998,0.0,0.0,1.0,0.0,0.0,22.76422619396109,22.29409377502002,0.0,0.0,1.0,0.0,74.54120236864497,42.870000000000005,3.0,0.4975980784627702,0.4975980784627702,-3.3306690738754696e-16,-2.7755575615628914e-17,"[((1, 1), 7495), ((0, 3), 2497)]",[-2.77555756e-17  0.00000000e+00],0.0,0.0,1.0,0.0,0.0,8.893816273100738,21.107625187650125,0.0,0.0,1.0,0.0,0.0,22.495829022459795,22.145623761509214,0.0,0.0,1.0,0.0,74.64289424471987,43.253248949159335,3.248298638911129,0.2507005604483587,0.2507005604483587,0.0,0.0,"[((1, 1), 6227), ((0, 3), 3765)]",[0. 0.],
jan19_jan19_17_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear-104,jan19/jan19_17_base_dev1000_rho0_t4.json,104,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_17_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,True,43001,"(3606.76580286026,)",0.0,"[13.539755804643715, 16.285700560448355]",0.0,0.0,0.0,13.539755804643715,0.0,0.0,0.0,0.0,16.285700560448355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0
jan19_jan19_17_base_dev1000_rho0_t4-cfr_port_10_extexternal_plus_linear-103,jan19/jan19_17_base_dev1000_rho0_t4.json,103,cfr_port_10_extexternal_plus_linear,cfr_external_linear,jan19_17_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,0.0,4,1000,True,48251,"(3607.862466573715,)",0.0,"[13.539755804643715, 16.285700560448355]",0.0,0.0,0.0,13.539755804643715,0.0,0.0,0.0,0.0,16.285700560448355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0,0.0,1.0,0.0,0.0,13.539755804643715,20.576937550040032,0.0,0.0,1.0,0.0,0.0,16.285700560448355,22.293062449959972,0.0,0.0,1.0,0.0,72.69545636509207,42.870000000000005,3.0,0.49809847878302643,0.49809847878302643,6.661338147750939e-16,5.551115123125783e-17,"[((1, 1), 7492), ((0, 3), 2500)]",[5.55111512e-17 0.00000000e+00],0.0
jan19_jan19_1_base_dev1000_rho1_t1_tie_break-cfr_port_10_extexternal_plus_linear_no_trem-104,jan19/jan19_1_base_dev1000_rho1_t1_tie_break.json,104,cfr_port_10_extexternal_plus_linear_no_trem,cfr_external_linear,jan19_1_base,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,1,1000,True,524751,"(3600.770444393158,)",0.0,"[18.981249460155425, 6.050512070916635]",0.0,0.0,0.0,18.981249460155425,0.0,0.0,0.0,0.0,6.050512070916635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.981249460155425,23.152500000000007,0.0,0.0,1.0,0.0,0.0,6.050512070916635,19.717499999999994,0.0,0.0,1.0,0.0,67.90176153107203,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],0.0,0.0,1.0,0.0,0.0,18.981249460155425,23.152500000000007,0.0,0.0,1.0,0.0,0.0,6.050512070916635,19.717499999999994,0.0,0.0,1.0,0.0,67.90176153107203,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],
