,game_name,potential,seed,run_name,information_policy,clock_speed,base_game_name,alg,walltime,p0_utility,p0_payment,p1_utility,p1_payment,total_welfare,total_revenue,auction_lengths,common_allocations
17,jun5/jun5_3_base.json,None,100,jun5_jun5_3_base-ppo_may31_23ppo_76-100,SHOW_DEMAND,0.3,jun5_3,PPO,3888.229489326477,183.35510170119082,85.77078642049436,137.08489013309315,72.17799388572001,478.38877214049836,157.94878030621436,3.7465225657960572,"[((2, 0), 5270), ((0, 1), 1710), ((1, 1), 1425), ((0, 0), 1003), ((2, 1), 538)]"
18,jun5/jun5_1_base.json,None,100,jun5_jun5_1_base-ppo_may31_23ppo_76-100,SHOW_DEMAND,0.3,jun5_1,PPO,5056.720545530319,51.94054781825459,78.29464033226583,52.688409347477986,46.67898456765412,229.6025820656525,124.97362489991995,2.4390512409927942,"[((2, 0), 7463), ((1, 2), 2473), ((2, 1), 28), ((1, 1), 11), ((1, 0), 10)]"
19,jun5/jun5_3_base.json,None,101,jun5_jun5_3_base-ppo_may31_23ppo_76-101,SHOW_DEMAND,0.3,jun5_3,PPO,4006.104459285736,171.06954322593555,100.45697268361018,128.05291299779864,84.36753927356416,483.9469681809085,184.82451195717434,4.283970382229338,"[((2, 0), 4005), ((0, 1), 2525), ((2, 1), 1436), ((1, 1), 1138), ((0, 0), 790)]"
20,jun5/jun5_2_base.json,None,102,jun5_jun5_2_base-ppo_may31_23ppo_76-102,SHOW_DEMAND,0.3,jun5_2,PPO,6120.999298334122,52.93744311586951,74.52673539123475,191.49115341204723,119.43290102061239,438.38823293976384,193.95963641184716,3.9333600160096056,"[((0, 3), 3649), ((0, 0), 2747), ((1, 3), 1292), ((2, 3), 1211), ((0, 1), 988)]"
21,jun5/jun5_1_base.json,None,101,jun5_jun5_1_base-ppo_may31_23ppo_76-101,SHOW_DEMAND,0.3,jun5_1,PPO,5086.852066040039,46.366041244746846,65.75162935761456,58.053073664198514,54.73339821893136,224.9041424854913,120.48502757654595,2.2408445067040224,"[((2, 0), 4989), ((1, 2), 2508), ((1, 0), 2471), ((1, 1), 17), ((0, 2), 5)]"
22,jun5/jun5_2_base.json,None,101,jun5_jun5_2_base-ppo_may31_23ppo_76-101,SHOW_DEMAND,0.3,jun5_2,PPO,6456.229438304901,53.26033344003201,75.06146309892968,187.66729017705308,119.1067420326098,435.09582874862457,194.16820513153948,3.9493848154446334,"[((0, 3), 3657), ((0, 0), 2623), ((2, 3), 1258), ((1, 3), 1227), ((0, 1), 1094)]"
23,jun5/jun5_2_base.json,None,100,jun5_jun5_2_base-ppo_may31_23ppo_76-100,SHOW_DEMAND,0.3,jun5_2,PPO,6295.339370012283,53.33300654392635,75.39362943766261,186.9381742445467,121.30106930158095,436.96587952771665,196.6946987392436,4.0170102061236745,"[((0, 3), 3643), ((0, 0), 2641), ((2, 3), 1266), ((1, 3), 1265), ((0, 1), 1089)]"
24,jun5/jun5_2_high_speed.json,None,102,jun5_jun5_2_high_speed-ppo_may31_23ppo_76-102,SHOW_DEMAND,0.6,jun5_2,PPO,6062.428520202637,43.46432950114965,43.10499970008998,219.33159972008394,158.27041967409778,464.17134859542136,201.37541937418777,2.3291012696191142,"[((0, 0), 4875), ((0, 3), 2567), ((1, 3), 2500), ((0, 2), 22), ((1, 0), 12)]"
25,jun5/jun5_2_high_speed.json,None,101,jun5_jun5_2_high_speed-ppo_may31_23ppo_76-101,SHOW_DEMAND,0.6,jun5_2,PPO,6440.553120136261,43.636026973486736,42.13185696848425,222.8279843921961,158.26075997999,466.8566283141571,200.39261694847428,2.3368684342171084,"[((0, 0), 4970), ((1, 3), 2521), ((0, 3), 2433), ((1, 0), 23), ((0, 2), 14)]"
26,jun5/jun5_3_base.json,None,102,jun5_jun5_3_base-ppo_may31_23ppo_76-102,SHOW_DEMAND,0.3,jun5_3,PPO,3969.7762587070465,178.9326241068748,73.85282570799562,150.6820552586811,82.91966594616233,486.3871710197138,156.77249165415793,3.614029820874612,"[((2, 0), 4004), ((0, 1), 3524), ((1, 1), 1296), ((2, 1), 755), ((0, 0), 347)]"
27,jun5/jun5_0_high_speed.json,None,101,jun5_jun5_0_high_speed-ppo_may31_23ppo_76-101,SHOW_DEMAND,0.6,jun5_0,PPO,5411.328958034515,47.90050801400698,92.35411929964984,149.8178116258129,102.88714085042524,392.959579789895,195.2412601500751,3.6076038019009506,"[((0, 2), 6248), ((1, 2), 2452), ((0, 3), 1154), ((0, 1), 84), ((1, 1), 23)]"
28,jun5/jun5_0_high_speed.json,None,102,jun5_jun5_0_high_speed-ppo_may31_23ppo_76-102,SHOW_DEMAND,0.6,jun5_0,PPO,5442.205144405365,45.4625016711698,96.41391181827281,141.57015078554986,119.57385001501055,403.020414290003,215.98776183328334,3.7777444210947664,"[((0, 1), 5310), ((0, 4), 1443), ((1, 4), 1244), ((1, 1), 709), ((0, 3), 445)]"
29,jun5/jun5_2_high_speed.json,None,100,jun5_jun5_2_high_speed-ppo_may31_23ppo_76-100,SHOW_DEMAND,0.6,jun5_2,PPO,6042.174065351486,46.770448555144476,68.99957444255577,212.28509901009895,149.3476377162284,477.4027597240276,218.34721215878415,2.645335466453355,"[((0, 0), 4911), ((0, 3), 2437), ((2, 3), 1997), ((1, 3), 509), ((1, 0), 89)]"
