global_step,nash_conv,_runtime,base_game_name,rule,cfg,rho,seed
100,2.6798794920775553,18.04032015800476,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
200,0.0,21.509634733200073,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
300,0.0,24.527577877044678,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
400,0.0,27.44454860687256,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
500,0.0,30.555389642715454,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
600,0.0,34.48437714576721,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
700,0.0,37.90612506866455,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
800,0.0,41.5525164604187,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
900,0.0,45.28998327255249,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1000,0.0,49.39516282081604,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1100,0.0,53.55733036994934,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1200,0.0,57.95154047012329,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1300,0.0,66.16986632347107,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1400,0.0,71.35135579109192,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1500,0.0,76.75096845626831,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1600,0.0,82.49923801422119,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1700,0.0,88.35573482513428,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1800,0.0,94.50977730751038,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
1900,0.0,101.05940794944763,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2000,0.0,107.82438087463379,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2100,0.0,114.9169979095459,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2200,0.0,122.15073919296265,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2300,0.0,129.6540675163269,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2400,0.0,137.42400336265564,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2500,0.0,145.43951678276062,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2600,0.0,153.77016162872314,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2700,0.0,179.17199873924255,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2800,0.0,190.02035665512085,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
2900,0.0,201.26213121414185,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3000,0.0,212.81869840621948,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3100,0.0,224.66879177093506,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3200,0.0,236.8060462474823,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3300,0.0,249.41133451461792,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3400,0.0,262.3586769104004,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3500,0.0,275.0481152534485,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3600,0.0,288.11279296875,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3700,0.0,301.2221038341522,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3800,0.0,314.67774176597595,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
3900,0.0,328.1807153224945,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
4000,0.0,341.92296504974365,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
4100,0.0,355.98608660697937,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
4200,0.0,370.2159185409546,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
4300,0.0,384.7182936668396,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
4400,0.0,399.56930589675903,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,0,109
