iteration,walltime,max_on_path_regret,nash_conv
0,0.09616780281066895,106.6449381775721,121.67186878984862
100,2.688823938369751,1.0391172850294623,1.077276308247413
200,5.248689651489258,0.5218893214233304,0.54037847793273
300,7.831618547439575,0.3484472083647887,0.36064023745305696
400,10.402384519577026,0.26153121296077586,0.27062581339681885
500,12.986125707626343,0.20931906895009433,0.2165705980715167
600,15.556725978851318,0.1744848731752029,0.18051437275382004
700,18.12241768836975,0.14959050902631077,0.15475041202525877
800,20.683684825897217,0.13091273357782995,0.1354222366956181
900,23.270120859146118,0.11638142331244694,0.12038612634455202
999,25.809279203414917,0.10485852272617535,0.10846368766646833
