info_state,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,player,prob,round,terminal,total_demand,value
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 13.31
Round: 5",1 , 1,,,, 13.31,87.69,33.69,,,0,7.78842975804303e-05,5,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 13.31
Round: 5",1 , 1,,,, 13.31,87.69,33.69,,,1,7.78842975804303e-05,5,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1
1 | 1 | 1 | 1
3 | 3 | 3 | 3",,,0.12594050205001406,0.8740594979499858,, 14.641,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1",0,2.0422472667958866e-09,5,False,1 | 1 | 1 | 1,
"Player 1
MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
3 | 3 | 3 | 3",,,0.3333333333333333,0.3333333333333333,0.3333333333333333, 14.641,,,,"MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2",1,2.0422472667958862e-09,5,False,2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 14.641
Round: 6",0 , 2,,,, 14.641,0.0,28.217999999999993,,,0,6.051279606564244e-06,6,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 14.641
Round: 6",0 , 2,,,, 14.641,0.0,28.217999999999993,,,1,6.051279606564244e-06,6,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 14.641
Round: 6",1 , 1,,,, 14.641,86.359,32.358999999999995,,,0,5.794499345625351e-05,6,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 14.641
Round: 6",1 , 1,,,, 14.641,86.359,32.358999999999995,,,1,5.794499345625351e-05,6,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3",,,0.07204343774388026,0.9279565622561198,, 16.1051,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1",0,5.950152069017811e-10,6,False,1 | 1 | 1 | 1 | 1,
"Player 1
MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
3 | 3 | 3 | 3 | 3",,,0.33333333333333337,0.33333333333333337,0.33333333333333337, 16.1051,,,,"MarginalValues:47, 10.5 Budget: 2002 | 2 | 2 | 2 | 2",1,5.950152069017811e-10,6,False,2 | 2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 16.1051
Round: 7",0 , 2,,,, 16.1051,0.0,25.289799999999993,,,0,2.017022521717436e-06,7,True,,
