info_state,player,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,prob,round,terminal,total_demand,value
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 2 | 0
Price: 12.1
Round: 4",0,2.0,0.0,,,,12.1,175.8,0.0,,,0.0398337180975962,4,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1
1 | 1 | 1 | 1
3 | 3 | 3 | 3",0,,,0.12594050205001403,0.874059497949986,0.0,14.641,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1",2.0422472667958862e-09,5,False,1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1
2 | 1 | 1 | 1
4 | 3 | 3 | 3",0,,,0.1437249068615701,0.8562750931384299,0.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1",1.1930274842725255e-09,5,False,2 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1
2 | 2 | 1 | 1
4 | 4 | 3 | 3",0,,,0.1121709770550726,0.8878290229449274,0.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1",1.019085735972365e-09,5,False,2 | 2 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1
2 | 2 | 2 | 1
4 | 4 | 4 | 3",0,,,0.08585172665483182,0.9141482733451682,0.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1",6.041234867807555e-05,5,False,2 | 2 | 2 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2",0.019869387259496,5,False,2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
4 | 3 | 3 | 3",0,,,0.0,0.0,1.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2",2.7744992579685484e-05,5,False,2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
4 | 4 | 3 | 3",0,,,0.0,0.0,1.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2",1.8495476026714484e-05,5,False,2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
4 | 4 | 4 | 3",0,,,0.0,0.0,1.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2",1.2329582098180325e-05,5,False,2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2
2 | 2 | 2 | 2
4 | 4 | 4 | 4",0,,,0.0,0.0,1.0,14.641,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2",0.8391182074375496,5,False,2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 13.31
Round: 5",0,0.0,2.0,,,,13.31,0.0,30.879999999999995,,,1.8154975587461872e-05,5,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 13.31
Round: 5",0,1.0,1.0,,,,13.31,87.69,33.69,,,7.78842975804303e-05,5,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 2 | 0
Price: 13.31
Round: 5",0,2.0,0.0,,,,13.31,173.38,0.0,,,0.0199282039758127,5,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3",0,,,0.0720434377438802,0.9279565622561198,0.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1",5.95015206901781e-10,6,False,1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1
2 | 1 | 1 | 1 | 1
4 | 3 | 3 | 3 | 3",0,,,0.0839244934328218,0.9160755065671782,0.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1",3.4051990673738784e-10,6,False,2 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1
2 | 2 | 1 | 1 | 1
4 | 4 | 3 | 3 | 3",0,,,0.06317149707665648,0.9368285029233434,0.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1",3.0159129775515237e-10,6,False,2 | 2 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1
2 | 2 | 2 | 1 | 1
4 | 4 | 4 | 3 | 3",0,,,0.04695722190705021,0.9530427780929498,0.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1",2.7048695260262187e-10,6,False,2 | 2 | 2 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1
2 | 2 | 2 | 2 | 1
4 | 4 | 4 | 4 | 3",0,,,0.0345630810930288,0.9654369189069713,0.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1",5.001920619734317e-05,6,False,2 | 2 | 2 | 2 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
3 | 3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",0.0099346117717444,6,False,2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
4 | 3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",1.3872381978000036e-05,6,False,2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
4 | 4 | 3 | 3 | 3",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",9.247661805462105e-06,6,False,2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 3 | 3",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",6.164740243826737e-06,6,False,2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 4 | 3",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",4.10959877619588e-06,6,False,2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 4 | 4",0,,,0.0,0.0,1.0,16.1051,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2",0.8390565108741935,6,False,2 | 2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 14.641
Round: 6",0,0.0,2.0,,,,14.641,0.0,28.217999999999996,,,6.051279606564244e-06,6,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 14.641
Round: 6",0,1.0,1.0,,,,14.641,86.359,32.358999999999995,,,5.794499345625351e-05,6,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 2 | 0
Price: 14.641
Round: 6",0,2.0,0.0,,,,14.641,170.718,0.0,,,0.0099680473351738,6,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3 | 3",0,,,0.038818324409885405,0.9611816755901146,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1",1.8404942196223023e-10,7,False,1 | 1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1 | 1
2 | 1 | 1 | 1 | 1 | 1
4 | 3 | 3 | 3 | 3 | 3",0,,,0.04580653714196171,0.9541934628580383,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1 | 1",1.0398064868688698e-10,7,False,2 | 1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1 | 1
2 | 2 | 1 | 1 | 1 | 1
4 | 4 | 3 | 3 | 3 | 3",0,,,0.0337156143731386,0.9662843856268614,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1 | 1",9.417977465688928e-11,7,False,2 | 2 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1 | 1
2 | 2 | 2 | 1 | 1 | 1
4 | 4 | 4 | 3 | 3 | 3",0,,,0.0246354219277608,0.9753645780722392,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1 | 1",8.59285455820996e-11,7,False,2 | 2 | 2 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1 | 1
2 | 2 | 2 | 2 | 1 | 1
4 | 4 | 4 | 4 | 3 | 3",0,,,0.017900227563370803,0.9820997724366292,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1 | 1",7.884018861620962e-11,7,False,2 | 2 | 2 | 2 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 1
2 | 2 | 2 | 2 | 2 | 1
4 | 4 | 4 | 4 | 4 | 3",0,,,0.012950587739375801,0.9870494122606241,0.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 1",4.449765188962638e-05,7,False,2 | 2 | 2 | 2 | 2 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
3 | 3 | 3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",0.0049672922428716,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 3 | 3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",6.936171937026233e-06,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 4 | 3 | 3 | 3 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",4.623818201415196e-06,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 3 | 3 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",3.0823616543694643e-06,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 4 | 3 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",2.0547937430686703e-06,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 4 | 4 | 3",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",1.3697917287533503e-06,7,False,2 | 2 | 2 | 2 | 2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2
2 | 2 | 2 | 2 | 2 | 2
4 | 4 | 4 | 4 | 4 | 4",0,,,0.0,0.0,1.0,17.7156,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 2 | 2",0.8390081209482965,7,False,2 | 2 | 2 | 2 | 2 | 2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 16.1051
Round: 7",0,0.0,2.0,,,,16.1051,0.0,25.289799999999996,,,2.017022521717436e-06,7,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 16.1051
Round: 7",0,1.0,1.0,,,,16.1051,84.89489999999999,30.8949,,,4.9176330895042233e-05,7,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 2 | 0
Price: 16.1051
Round: 7",0,2.0,0.0,,,,16.1051,167.7898,0.0,,,0.0049853660618345,7,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1 | 1
1 | 1 | 1 | 1 | 1 | 1 | 1
3 | 3 | 3 | 3 | 3 | 3 | 3",0,,,0.020193021462905504,0.9798069785370945,0.0,19.4872,,,,"MarginalValues:101, 99 Budget: 2001 | 1 | 1 | 1 | 1 | 1 | 1",5.896831059768281e-11,8,False,1 | 1 | 1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1 | 1 | 1
2 | 1 | 1 | 1 | 1 | 1 | 1
4 | 3 | 3 | 3 | 3 | 3 | 3",0,,,0.0240027514990305,0.9759972485009696,0.0,19.4872,,,,"MarginalValues:101, 99 Budget: 2002 | 1 | 1 | 1 | 1 | 1 | 1",3.307255174692193e-11,8,False,2 | 1 | 1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1 | 1 | 1
2 | 2 | 1 | 1 | 1 | 1 | 1
4 | 4 | 3 | 3 | 3 | 3 | 3",0,,,0.017446010136687708,0.9825539898633123,0.0,19.4872,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 1 | 1 | 1 | 1 | 1",3.033481523093617e-11,8,False,2 | 2 | 1 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1 | 1 | 1
2 | 2 | 2 | 1 | 1 | 1 | 1
4 | 4 | 4 | 3 | 3 | 3 | 3",0,,,0.012628827456729804,0.9873711725432702,0.0,19.4872,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 1 | 1 | 1 | 1",2.7937219868681918e-11,8,False,2 | 2 | 2 | 1 | 1 | 1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1 | 1 | 1
2 | 2 | 2 | 2 | 1 | 1 | 1
4 | 4 | 4 | 4 | 3 | 3 | 3",0,,,0.0091132429034983,0.9908867570965018,0.0,19.4872,,,,"MarginalValues:101, 99 Budget: 2002 | 2 | 2 | 2 | 1 | 1 | 1",2.5809643766280125e-11,8,False,2 | 2 | 2 | 2 | 1 | 1 | 1,
