info_state,Allocation British Columbia,Bid ([0]),Bid ([1]),Bid ([2]),Bid ([3]),Price British Columbia,Utility 0,Utility 1,bids,player,prob,round,terminal,total_demand,type
"p0 a1 agg[array([0]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([1]), array([1]), array([1]), array([1])] proc[array([0]), array([1]), array([1]), array([1]), array([1])] sor_exposure36.60250000000002",,0.039518807347509975,0.96048119265249,,,36.60250000000002,,,"[array([0]), array([1]), array([1]), array([1]), array([1])]",0,6.17783383119617e-11,5,False,[4],0
"p1 a3 agg[array([0]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([3]), array([3]), array([3]), array([3])] proc[array([0]), array([3]), array([3]), array([3]), array([3])] sor_exposure109.80750000000006",,0.25,0.25,0.25,0.25,36.60250000000002,,,"[array([0]), array([3]), array([3]), array([3]), array([3])]",1,6.17783383119617e-11,5,False,[4],0
"Price: [36.6025]
Final bids: [array([1]), array([2])]
Round: 5
",[1],,,,,36.60250000000002,3.3974999999999795,1.794999999999959,,0,0.0001331678242023235,5,True,,0
"Price: [36.6025]
Final bids: [array([1]), array([2])]
Round: 5
",[1],,,,,36.60250000000002,3.3974999999999795,1.794999999999959,,1,0.0001331678242023235,5,True,,0
"Price: [36.6025]
Final bids: [array([0]), array([3])]
Round: 5
",[0],,,,,36.60250000000002,0.0,-4.807500000000061,,0,2.347829444785033e-11,5,True,,0
"Price: [36.6025]
Final bids: [array([0]), array([3])]
Round: 5
",[0],,,,,36.60250000000002,0.0,-4.807500000000061,,1,2.347829444785033e-11,5,True,,0
"p0 a1 agg[array([0]), array([4]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([1]), array([1]), array([1]), array([1]), array([1])] proc[array([0]), array([1]), array([1]), array([1]), array([1]), array([1])] sor_exposure40.262750000000025",,1.0,,,,40.262750000000025,,,"[array([0]), array([1]), array([1]), array([1]), array([1]), array([1])]",0,1.4834233015490498e-11,6,False,[4],0
"p1 a3 agg[array([0]), array([4]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])] proc[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])] sor_exposure120.78825000000008",,1.0,,,,40.262750000000025,,,"[array([0]), array([3]), array([3]), array([3]), array([3]), array([3])]",1,1.4834233015490498e-11,6,False,[4],0
"Price: [40.26275]
Final bids: [array([1]), array([2])]
Round: 6
",[1],,,,,40.262750000000025,-0.26275000000002535,-5.525500000000051,,0,9.763679225923796e-08,6,True,,0
"Price: [40.26275]
Final bids: [array([1]), array([2])]
Round: 6
",[1],,,,,40.262750000000025,-0.26275000000002535,-5.525500000000051,,1,9.763679225923796e-08,6,True,,0
"Price: [40.26275]
Final bids: [array([0]), array([3])]
Round: 6
",[0],,,,,40.262750000000025,0.0,-15.788250000000076,,0,9.763503811480111e-08,6,True,,0
"Price: [40.26275]
Final bids: [array([0]), array([3])]
Round: 6
",[0],,,,,40.262750000000025,0.0,-15.788250000000076,,1,9.763503811480111e-08,6,True,,0
"Price: [25]
Final bids: [array([2]), array([0])]
Round: 1
",[2],,,,,25.0,25.0,0.0,,0,5.116703169990184e-08,1,True,,0
"Price: [25]
Final bids: [array([2]), array([0])]
Round: 1
",[2],,,,,25.0,25.0,0.0,,1,5.116703169990184e-08,1,True,,0
"Price: [25]
Final bids: [array([2]), array([1])]
Round: 1
",[2],,,,,25.0,25.0,15.0,,0,1.2569311612367413e-07,1,True,,0
"Price: [25]
Final bids: [array([2]), array([1])]
Round: 1
",[2],,,,,25.0,25.0,15.0,,1,1.2569311612367413e-07,1,True,,0
"p0 a2 agg[array([0]), array([4])] sub[array([0]), array([2])] proc[array([0]), array([2])] sor_exposure55.00000000000001",,0.2040608082942247,0.2040608082942247,0.5918783834115505,,27.500000000000004,,,"[array([0]), array([2])]",0,1.0472260531915e-06,2,False,[4],0
"p1 a2 agg[array([0]), array([4])] sub[array([0]), array([2])] proc[array([0]), array([2])] sor_exposure55.00000000000001",,0.20406080829422546,0.20406080829422546,0.5918783834115491,,27.500000000000004,,,"[array([0]), array([2])]",1,1.0472260531915e-06,2,False,[4],0
"Price: [27.5]
Final bids: [array([2]), array([1])]
Round: 2
",[2],,,,,27.500000000000004,19.999999999999993,12.499999999999996,,0,0.0016076243859364902,2,True,,0
"Price: [27.5]
Final bids: [array([2]), array([1])]
Round: 2
",[2],,,,,27.500000000000004,19.999999999999993,12.499999999999996,,1,0.0016076243859364902,2,True,,0
"p0 a2 agg[array([0]), array([4]), array([4])] sub[array([0]), array([2]), array([2])] proc[array([0]), array([2]), array([2])] sor_exposure60.500000000000014",,0.27944297696926046,0.27944297696926046,0.44111404606147914,,30.250000000000007,,,"[array([0]), array([2]), array([2])]",0,3.6686425268385026e-07,3,False,[4],0
"p1 a2 agg[array([0]), array([4]), array([4])] sub[array([0]), array([2]), array([2])] proc[array([0]), array([2]), array([2])] sor_exposure60.500000000000014",,0.27944297696926057,0.27944297696926057,0.4411140460614789,,30.250000000000007,,,"[array([0]), array([2]), array([2])]",1,3.668642526838503e-07,3,False,[4],0
"Price: [30.25]
Final bids: [array([2]), array([1])]
Round: 3
",[2],,,,,30.250000000000007,14.499999999999986,9.749999999999993,,0,0.00034703420840426035,3,True,,0
"Price: [30.25]
Final bids: [array([2]), array([1])]
Round: 3
",[2],,,,,30.250000000000007,14.499999999999986,9.749999999999993,,1,0.00034703420840426035,3,True,,0
"p0 a2 agg[array([0]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2])] sor_exposure66.55000000000003",,0.4004451294662201,0.4004451294662201,0.1991097410675599,,33.27500000000001,,,"[array([0]), array([2]), array([2]), array([2])]",0,7.138503386901765e-08,4,False,[4],0
"p1 a2 agg[array([0]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2])] sor_exposure66.55000000000003",,0.40044512946622046,0.40044512946622046,0.19910974106755908,,33.27500000000001,,,"[array([0]), array([2]), array([2]), array([2])]",1,7.138503386901765e-08,4,False,[4],0
"Price: [33.275]
Final bids: [array([2]), array([1])]
Round: 4
",[2],,,,,33.27500000000001,8.449999999999974,6.724999999999987,,0,0.0005596423517925243,4,True,,0
"Price: [33.275]
Final bids: [array([2]), array([1])]
Round: 4
",[2],,,,,33.27500000000001,8.449999999999974,6.724999999999987,,1,0.0005596423517925243,4,True,,0
"p0 a2 agg[array([0]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2]), array([2])] sor_exposure73.20500000000004",,0.4941982515185268,0.4941982515185268,0.011603496962946342,,36.60250000000002,,,"[array([0]), array([2]), array([2]), array([2]), array([2])]",0,2.830037466134379e-09,5,False,[4],0
"p1 a2 agg[array([0]), array([4]), array([4]), array([4]), array([4])] sub[array([0]), array([2]), array([2]), array([2]), array([2])] proc[array([0]), array([2]), array([2]), array([2]), array([2])] sor_exposure73.20500000000004",,0.49419825151852675,0.49419825151852675,0.011603496962946472,,36.60250000000002,,,"[array([0]), array([2]), array([2]), array([2]), array([2])]",1,2.8300374661343786e-09,5,False,[4],0
"Price: [36.6025]
Final bids: [array([2]), array([1])]
Round: 5
",[2],,,,,36.60250000000002,1.794999999999959,3.3974999999999795,,0,0.00013354424660938518,5,True,,0
